Company Name,Industry,CMP Rs.,Mar Cap Rs.Cr.,P/E,EV / EBITDA,Earnings Yield %,CMP / BV,ROE %,Sales growth %,Profit growth %,From 52w high,50 DMA Rs.,200 DMA Rs.,Last Close,Pivot,S1,S2,R1,R2,SMA50,SMA200,Trend,ATR,StopLoss,TargetPrice,_ticker,_fetched_at,_status
Techno Electric & Engineering Company Ltd.,Construction,1079.3,12563.84,28.037895,22.278,,3.0213027,11.364,23.799999999999997,-14.899999999999999,34.34,1172.8,1179.26,1079.3,1078.73,1061.47,1050.73,1089.47,1106.73,1172.8,1179.26,Downtrend,33.06,1114.16,1145.43,TECHNOE.NS,2026-06-22 00:45:37,OK
The Ramco Cements Ltd.,Construction Materials,885.3,20848.08,29.837673,17.099,,2.5747955,8.996,8.9,452.09999999999997,27.11,921.78,1013.16,885.3,894.1,881.25,872.15,903.2,916.05,921.78,1013.16,Downtrend,26.19,875.7,937.69,RAMCOCEM.NS,2026-06-22 00:45:38,OK
UltraTech Cement Ltd.,Construction Materials,11367.0,334617.96,41.01316,20.979,,4.6449637,10.593,3.0,45.300000000000004,13.3,11566.42,11911.73,11367.0,11375.0,11290.0,11150.0,11515.0,11600.0,11566.42,11911.73,Downtrend,215.07,10988.1,11797.14,ULTRACEMCO.NS,2026-06-22 00:45:38,OK
Amber Enterprises India Ltd.,Consumer Durables,7889.0,27755.73,155.87245,33.003,,6.335146,5.583,10.5,11.0,12.09,7806.27,7372.17,7889.0,7965.17,7860.33,7755.17,8070.33,8175.17,7806.27,7372.17,Uptrend,275.5,7415.96,8440.0,AMBER.NS,2026-06-22 00:45:39,OK
Asian Paints Ltd.,Consumer Durables,2732.9,262285.09,60.678642,40.974,,12.279686,20.889999,10.6,69.19999999999999,8.47,2586.18,2555.42,2732.9,2749.4,2733.8,2712.6,2770.6,2786.2,2586.18,2555.42,Uptrend,51.59,2629.71,2836.09,ASIANPAINT.NS,2026-06-22 00:45:40,OK
Bata India Ltd.,Consumer Durables,747.7,9588.15,71.25119,14.956,,6.0724463,8.465999,5.0,-95.19999999999999,41.7,706.48,898.74,747.7,756.42,709.53,629.17,836.78,883.67,706.48,898.74,Sideways,27.56,692.57,802.83,BATAINDIA.NS,2026-06-22 00:45:41,OK
Berger Paints India Ltd.,Consumer Durables,550.7,64829.76,57.676346,34.706,,9.377161,17.226,6.1,27.700000000000003,8.36,495.41,505.8,550.7,508.08,501.07,497.08,512.07,519.08,495.41,505.8,Sideways,18.27,514.16,587.24,BERGEPAINT.NS,2026-06-22 00:45:42,OK
Blue Star Ltd.,Consumer Durables,1668.3,34333.97,65.00584,36.817,,10.00006,16.222,1.3,17.1,18.22,1701.92,1804.35,1668.3,1702.47,1691.03,1675.77,1717.73,1729.17,1701.92,1804.35,Downtrend,49.34,1616.82,1766.97,BLUESTARCO.NS,2026-06-22 00:45:42,OK
Campus Activewear Ltd.,Consumer Durables,237.45,7243.99,48.17073,25.3,,8.016235,18.053,12.3,25.2,21.91,243.99,258.23,237.45,238.75,234.8,229.1,244.45,248.4,243.99,258.23,Downtrend,7.65,231.79,252.76,CAMPUS.NS,2026-06-22 00:45:43,OK
Century Plyboards (India) Ltd.,Consumer Durables,758.5,16885.15,64.24345,28.595,,6.4774013,10.7130006,24.5,48.699999999999996,11.7,768.06,769.45,758.5,758.5,747.65,735.85,770.3,781.15,768.06,769.45,Downtrend,22.79,729.66,804.08,CENTURYPLY.NS,2026-06-22 00:45:44,OK
